,id,description,title,repin_count
2,21181060741360356,"The Toppu Mini Bowl is part of the popular Toppu series. The TOPPU series consist of decorative designs in ceramic and is one of our most popular design. TOPPU was first presented in the SS17 collection, and the characteristic stripes have since been further developed into a whole series of unique products, inspired by trends of the time. Use the bowl as a decorative element or for storage. Available in several colors and sizes. The series is made of 100% ceramic and is handmade.Product Overview",Toppu Mini Bowl in Caramel / Rose,0
3,21181060741360355, ,𐀔,0
5,21181060741360352, ,constellation,1
9,21181060741360343,"Pyxis: This shimmer eyeshadow shade is named for the compass constellation, evoking the sunlit surface of seawater and bioluminescence beneath.",Celestial Sphere Gelée Eye Gloss: Pyxis,0
10,21181060741360342, ,Marshmalow flowers @inspirationbyblanca,1
11,21181060741360341,"One of a kind matte white hand-built ceramic candelabra. Fits 3 candles. Includes 3 small beeswax taper candles. 9.5"" tall, 8.25"" wide, 4.25"" deep. Handmade by Dina No in Portland, OR.",Dina No Ceramic Candelabra  No. 13,0
15,21181060741341149, ,🪞,0
17,21181060741267132,"""Playful dinner plates made from high-quality melamine, are durable and resistant to breakage, making them ideal for outdoors. Pick your favorite color or get mix of green and pink stripe set. Melamine dinner plates are perfect for picnics, lunch by the pool or enjoying your meal on the patio. (Heavy weight melamine gives the feeling of ceramics with approximate weight: 0.9lbs / 400gr per plate).   FEATURES Dishwasher safe - top rack only. BPA free. Not suitable for microwave. Durable. SPECIFICA",Melamine Vintage Style Striped Dinner Plates Set of 4pcs - High Quality heavy plastic -,0
20,21181060741267125, ,Squiggle Frame CUSTOM/ MADE to ORDER,0
22,21181060741267119,Pop art hues with handmade decoupage beads covered in gorgeous vintage prints,Lenora Dame Queen Mum Lipgloss Choker Necklace,1
48,188658671887934974,"Baby, it’s cold outside. Stay warm and look cool doing it with the ultimate coat guide from our editors. From statement pieces to oversized bombers and updated trenches, your outerwear game is ready for a refreshing overhaul.",The COAT Guide,0
49,188658671887930913,"Designer Emme Parsons makes dressing from the feet up an easy feat. Our Hero from the buzzy brand promises instant sophistication with a decidedly modern twist. You’ll love the walkable kitten heel, sleek pointed toe, and v-cut vamp—perfect for everyday and every occasion.",Emme Parsons,0
50,188658671887926198,Something to leave behind in 2023 is the stressing about what to wear—enter the best matching sets of 2024. These perfectly coordinating tops and skirts make dressing up for any winter outing a breeze.,STRIKE A MATCH,0
51,188658671887921919,"Health is wealth and if you need the motivation to recharge your wellness routine, let our latest edit inspire your next move. Incorporating daily self-care can be as simple as boosting circulation with facial tools, decrease screen time with classic board games that stimulate the mind, and break a sweat but look good doing it with cute and chic activewear.",WELLNESS BESTSELLERS,0
52,188658671887919377,"The best in beauty and skincare essentials are coming straight to your inbox with our curated edit of beloved brands and fresh products. From gua sha tools and enhancing eye masks to dewy lip glosses, we’ve got you covered.", NEW BEAUTY ARRIVALS,3
53,188658671887918878,"Baseball caps have become the new T-shirt, offering a versatile and stylish way to top off any outfit.",MIU MIU Baseball Cap ,10
54,188658671887918877,"Baseball caps have become the new T-shirt, offering a versatile and stylish way to top off any outfit.",MIU MIU Baseball Cap ,6
55,188658671887915912,"You can never have too much denim, it’s fact, so add these bestselling pieces to your personal collection for a head-to-toe update that will make you feel anything but blue. Horseshoe jeans from Citizens Of Humanity, the perfect oversized jacket from Simkhai, cool-girl bags from Jacquemus—carpe denim!",THE BESTSELLERS: DENIM Edition,16
56,188658671887909856,"Take a break from the winter wonderland and transport yourself to a far-flung destination where the sun is always shining. Our coveted edit is a paradise of wanderlust-inspiring resortwear well-suited for boat rides, walks on the beach, or lounging under the rays while sipping Aperol spritzes.",THE RESORT GUIDE,4
57,188658671887906126,"Symbolizing so much positivity—from strength and perseverance to love and friendship—January’s birthstone, the garnet, leads the New Year on a high note.",January Birthstone: THE GARNET,0
58,188658671887901591,"The cult-favorite ID series from iconic brand 3.1 Phillip Lim is back with a sophisticated new iteration our editors are obsessing over. The forecasted It Bag of 2024, our Hero is sleek and minimal yet utterly impactful. Available in multiple finishes and stylishly functional, you’ll want it in every color.",3.1 PHILLIP LIM,2
59,188658671887897637,"Start your New Year right with our edit of 24 must-haves for 2024. Meet your new wardrobe and beauty essentials: dressed-up flats you can wear from day-to-night, red lipsticks that will make you feel extra bold, dazzling hair accessories that make a big statement, and so much more.",24 MUST-HAVES for 2024,10
60,188658671887893518,NICE TO MEET YOU. Get to know SHOP BAZAAR editor Minna Shim and her fave fashion picks.,EDITOR'S PICKS,56
61,188658671887891260,"Sale season is the gift that keeps on giving well beyond the holidays—discover up to 40% off designer picks you can wear now, pack for your upcoming escapes, and then some!",SHOP BAZAAR SALE,1
62,188658671887890132,Platform Ugg boots have seen a significant resurgence. The minis are easy to pair with any look and the ideal wintertime boot for style and comfort.,Platform UGG Boots,22
63,188658671887890131,Platform Ugg boots have seen a significant resurgence. The minis are easy to pair with any look and the ideal wintertime boot for style and comfort.,Platform UGG Boots,12
64,188658671887890130,Platform Ugg boots have seen a significant resurgence. The minis are easy to pair with any look and the ideal wintertime boot for style and comfort.,Platform UGG Boots,111
65,188658671887887644,"There’s always so much to look forward to in the New Year, especially the fashion trends on our editors’ radars. From gentle peach tones that inspire warmth and kindness to perennial chunky gold earrings and fancy flats that will make each step feel like a move in the right direction, these are the 2024 must-haves you need to know and shop.",THE 2024 FASHION TRENDS,7
66,188658671887884345,"100% free from toxins, fillers, artificial colors and fragrances, and synthetic chemicals, you know exactly what you’re putting into your skin with Tata Harper’s natural skincare collection.",TATA HARPER,1
67,188658671887879710,"There’s nothing like a home update to give you a fresh perspective and outlook on life. Whatever your personality, transform your space into a physical manifestation of your 2024 mood.",FEEL at HOME,1
68,188658671887874985,"Our editors always look forward to Donni.’s next drop and this season is no exception. Be prepared to wrap yourself in the coziest vest of 2024. Crafted with a polar fleece fabric and featuring a contrasting whip stitch, our Hero is the secret to looking cool while staying absolutely warm. With deep front pockets and the brand’s signature mother of pearl buttons, this is exactly what you want to wear to start off the New Year.",HEROES,57
69,188658671887871268,Scroll through our curated edit of new styles and brands you’ll want to wear to feel like the main character you are in 2024.,2024 NEW ARRIVALS,7
70,188658671887866680,Our editors share their 2024 fashion and beauty resolutions for a style refresh everyone can appreciate.,2024 STYLE RESOLUTIONS,2
71,188658671887863299,"Laid-back is the mood for Sea, with pieces that skew toward both casual and pulled-together. Shop the New York brand's easy dresses, detailed tops, and unique prints for a look that brims with authenticity.",SEA,3
72,188658671887862438,The most stylish and comfortable pajamas for women are designed to be worn from bed to the city with effortless style!,Sleepwear Style,5
