id,description,title,repin_count,text
21181060741360356,"The Toppu Mini Bowl is part of the popular Toppu series. The TOPPU series consist of decorative designs in ceramic and is one of our most popular design. TOPPU was first presented in the SS17 collection, and the characteristic stripes have since been further developed into a whole series of unique products, inspired by trends of the time. Use the bowl as a decorative element or for storage. Available in several colors and sizes. The series is made of 100% ceramic and is handmade.Product Overview",Toppu Mini Bowl in Caramel / Rose,0,"toppu mini bowl in caramel / rose the toppu mini bowl is part of the popular toppu series. the toppu series consist of decorative designs in ceramic and is one of our most popular design. toppu was first presented in the ss17 collection, and the characteristic stripes have since been further developed into a whole series of unique products, inspired by trends of the time. use the bowl as a decorative element or for storage. available in several colors and sizes. the series is made of 100% ceramic and is handmade.product overview"
21181060741360355,,𐀔,0,𐀔
21181060741360352,,constellation,1,constellation
21181060741360343,"Pyxis: This shimmer eyeshadow shade is named for the compass constellation, evoking the sunlit surface of seawater and bioluminescence beneath.",Celestial Sphere Gelée Eye Gloss: Pyxis,0,"celestial sphere gelée eye gloss: pyxis pyxis: this shimmer eyeshadow shade is named for the compass constellation, evoking the sunlit surface of seawater and bioluminescence beneath."
21181060741360342,,Marshmalow flowers @inspirationbyblanca,1,marshmalow flowers @inspirationbyblanca
21181060741360341,"One of a kind matte white hand-built ceramic candelabra. Fits 3 candles. Includes 3 small beeswax taper candles. 9.5"" tall, 8.25"" wide, 4.25"" deep. Handmade by Dina No in Portland, OR.",Dina No Ceramic Candelabra  No. 13,0,"dina no ceramic candelabra  no. 13 one of a kind matte white hand-built ceramic candelabra. fits 3 candles. includes 3 small beeswax taper candles. 9.5"" tall, 8.25"" wide, 4.25"" deep. handmade by dina no in portland, or."
21181060741341149,,🪞,0,🪞
21181060741267132,"""Playful dinner plates made from high-quality melamine, are durable and resistant to breakage, making them ideal for outdoors. Pick your favorite color or get mix of green and pink stripe set. Melamine dinner plates are perfect for picnics, lunch by the pool or enjoying your meal on the patio. (Heavy weight melamine gives the feeling of ceramics with approximate weight: 0.9lbs / 400gr per plate).   FEATURES Dishwasher safe - top rack only. BPA free. Not suitable for microwave. Durable. SPECIFICA",Melamine Vintage Style Striped Dinner Plates Set of 4pcs - High Quality heavy plastic -,0,"melamine vintage style striped dinner plates set of 4pcs - high quality heavy plastic - ""playful dinner plates made from high-quality melamine, are durable and resistant to breakage, making them ideal for outdoors. pick your favorite color or get mix of green and pink stripe set. melamine dinner plates are perfect for picnics, lunch by the pool or enjoying your meal on the patio. (heavy weight melamine gives the feeling of ceramics with approximate weight: 0.9lbs / 400gr per plate).   features dishwasher safe - top rack only. bpa free. not suitable for microwave. durable. specifica"
21181060741267125,,Squiggle Frame CUSTOM/ MADE to ORDER,0,squiggle frame custom/ made to order
21181060741267119,Pop art hues with handmade decoupage beads covered in gorgeous vintage prints,Lenora Dame Queen Mum Lipgloss Choker Necklace,1,lenora dame queen mum lipgloss choker necklace pop art hues with handmade decoupage beads covered in gorgeous vintage prints
188658671887934974,"Baby, it’s cold outside. Stay warm and look cool doing it with the ultimate coat guide from our editors. From statement pieces to oversized bombers and updated trenches, your outerwear game is ready for a refreshing overhaul.",The COAT Guide,0,"the coat guide baby, it’s cold outside. stay warm and look cool doing it with the ultimate coat guide from our editors. from statement pieces to oversized bombers and updated trenches, your outerwear game is ready for a refreshing overhaul."
188658671887930913,"Designer Emme Parsons makes dressing from the feet up an easy feat. Our Hero from the buzzy brand promises instant sophistication with a decidedly modern twist. You’ll love the walkable kitten heel, sleek pointed toe, and v-cut vamp—perfect for everyday and every occasion.",Emme Parsons,0,"emme parsons designer emme parsons makes dressing from the feet up an easy feat. our hero from the buzzy brand promises instant sophistication with a decidedly modern twist. you’ll love the walkable kitten heel, sleek pointed toe, and v-cut vamp—perfect for everyday and every occasion."
188658671887926198,Something to leave behind in 2023 is the stressing about what to wear—enter the best matching sets of 2024. These perfectly coordinating tops and skirts make dressing up for any winter outing a breeze.,STRIKE A MATCH,0,strike a match something to leave behind in 2023 is the stressing about what to wear—enter the best matching sets of 2024. these perfectly coordinating tops and skirts make dressing up for any winter outing a breeze.
188658671887921919,"Health is wealth and if you need the motivation to recharge your wellness routine, let our latest edit inspire your next move. Incorporating daily self-care can be as simple as boosting circulation with facial tools, decrease screen time with classic board games that stimulate the mind, and break a sweat but look good doing it with cute and chic activewear.",WELLNESS BESTSELLERS,0,"wellness bestsellers health is wealth and if you need the motivation to recharge your wellness routine, let our latest edit inspire your next move. incorporating daily self-care can be as simple as boosting circulation with facial tools, decrease screen time with classic board games that stimulate the mind, and break a sweat but look good doing it with cute and chic activewear."
188658671887919377,"The best in beauty and skincare essentials are coming straight to your inbox with our curated edit of beloved brands and fresh products. From gua sha tools and enhancing eye masks to dewy lip glosses, we’ve got you covered.",NEW BEAUTY ARRIVALS,3,"new beauty arrivals the best in beauty and skincare essentials are coming straight to your inbox with our curated edit of beloved brands and fresh products. from gua sha tools and enhancing eye masks to dewy lip glosses, we’ve got you covered."
188658671887918878,"Baseball caps have become the new T-shirt, offering a versatile and stylish way to top off any outfit.",MIU MIU Baseball Cap,10,"miu miu baseball cap baseball caps have become the new t-shirt, offering a versatile and stylish way to top off any outfit."
188658671887918877,"Baseball caps have become the new T-shirt, offering a versatile and stylish way to top off any outfit.",MIU MIU Baseball Cap,6,"miu miu baseball cap baseball caps have become the new t-shirt, offering a versatile and stylish way to top off any outfit."
188658671887915912,"You can never have too much denim, it’s fact, so add these bestselling pieces to your personal collection for a head-to-toe update that will make you feel anything but blue. Horseshoe jeans from Citizens Of Humanity, the perfect oversized jacket from Simkhai, cool-girl bags from Jacquemus—carpe denim!",THE BESTSELLERS: DENIM Edition,16,"the bestsellers: denim edition you can never have too much denim, it’s fact, so add these bestselling pieces to your personal collection for a head-to-toe update that will make you feel anything but blue. horseshoe jeans from citizens of humanity, the perfect oversized jacket from simkhai, cool-girl bags from jacquemus—carpe denim!"
188658671887909856,"Take a break from the winter wonderland and transport yourself to a far-flung destination where the sun is always shining. Our coveted edit is a paradise of wanderlust-inspiring resortwear well-suited for boat rides, walks on the beach, or lounging under the rays while sipping Aperol spritzes.",THE RESORT GUIDE,4,"the resort guide take a break from the winter wonderland and transport yourself to a far-flung destination where the sun is always shining. our coveted edit is a paradise of wanderlust-inspiring resortwear well-suited for boat rides, walks on the beach, or lounging under the rays while sipping aperol spritzes."
188658671887906126,"Symbolizing so much positivity—from strength and perseverance to love and friendship—January’s birthstone, the garnet, leads the New Year on a high note.",January Birthstone: THE GARNET,0,"january birthstone: the garnet symbolizing so much positivity—from strength and perseverance to love and friendship—january’s birthstone, the garnet, leads the new year on a high note."
188658671887901591,"The cult-favorite ID series from iconic brand 3.1 Phillip Lim is back with a sophisticated new iteration our editors are obsessing over. The forecasted It Bag of 2024, our Hero is sleek and minimal yet utterly impactful. Available in multiple finishes and stylishly functional, you’ll want it in every color.",3.1 PHILLIP LIM,2,"3.1 phillip lim the cult-favorite id series from iconic brand 3.1 phillip lim is back with a sophisticated new iteration our editors are obsessing over. the forecasted it bag of 2024, our hero is sleek and minimal yet utterly impactful. available in multiple finishes and stylishly functional, you’ll want it in every color."
188658671887897637,"Start your New Year right with our edit of 24 must-haves for 2024. Meet your new wardrobe and beauty essentials: dressed-up flats you can wear from day-to-night, red lipsticks that will make you feel extra bold, dazzling hair accessories that make a big statement, and so much more.",24 MUST-HAVES for 2024,10,"24 must-haves for 2024 start your new year right with our edit of 24 must-haves for 2024. meet your new wardrobe and beauty essentials: dressed-up flats you can wear from day-to-night, red lipsticks that will make you feel extra bold, dazzling hair accessories that make a big statement, and so much more."
